h,s,v
109.0,124.0,127.0
102.0,119.0,131.0
103.0,158.0,139.0
105.0,183.0,149.0
104.0,181.0,138.0
105.0,156.0,126.0
108.0,141.0,127.0
108.0,140.0,129.0
108.0,144.0,129.0
107.0,140.0,129.0
107.0,153.0,127.0
108.0,154.0,124.0
107.0,159.0,122.0
108.0,152.0,119.0
109.0,150.0,117.0
109.0,150.0,117.0
111.0,137.0,115.0
109.0,154.0,114.0
108.0,162.0,113.0
107.0,167.0,116.0
109.0,154.0,109.0
107.0,165.0,105.0
108.0,168.0,106.0
107.0,162.0,104.0
110.0,144.0,103.0
109.0,150.0,104.0
109.0,162.0,104.0
109.0,169.0,104.0
108.0,175.0,102.0
107.0,173.0,100.0
108.0,180.0,99.0
108.0,187.0,97.0
108.0,122.0,128.0
109.0,121.0,129.0
112.0,118.0,128.0
109.0,131.0,128.0
109.0,132.0,120.0
108.0,131.0,123.0
108.0,126.0,123.0
108.0,131.0,125.0
107.0,140.0,124.0
107.0,140.0,124.0
107.0,141.0,123.0
106.0,150.0,124.0
106.0,158.0,123.0
107.0,159.0,119.0
110.0,151.0,110.0
108.0,157.0,117.0
108.0,160.0,118.0
108.0,165.0,119.0
108.0,170.0,120.0
109.0,166.0,117.0
109.0,160.0,113.0
107.0,157.0,107.0
107.0,162.0,107.0
107.0,158.0,105.0
108.0,155.0,105.0
107.0,162.0,104.0
108.0,173.0,106.0
111.0,174.0,110.0
109.0,168.0,102.0
109.0,171.0,103.0
109.0,165.0,102.0
109.0,174.0,97.0
108.0,124.0,125.0
109.0,122.0,128.0
112.0,118.0,128.0
109.0,131.0,128.0
109.0,126.0,125.0
108.0,131.0,123.0
108.0,126.0,123.0
108.0,132.0,124.0
107.0,140.0,124.0
107.0,141.0,123.0
107.0,141.0,123.0
106.0,150.0,124.0
106.0,160.0,121.0
107.0,157.0,120.0
110.0,140.0,118.0
108.0,157.0,117.0
108.0,160.0,118.0
108.0,169.0,116.0
108.0,174.0,117.0
109.0,167.0,116.0
109.0,157.0,115.0
107.0,152.0,111.0
107.0,158.0,110.0
107.0,153.0,108.0
108.0,150.0,109.0
107.0,156.0,108.0
108.0,173.0,106.0
111.0,180.0,106.0
109.0,166.0,103.0
109.0,173.0,102.0
109.0,168.0,100.0
109.0,172.0,98.0
107.0,133.0,130.0
107.0,133.0,130.0
107.0,133.0,130.0
108.0,135.0,128.0
108.0,137.0,127.0
109.0,135.0,127.0
109.0,129.0,123.0
108.0,139.0,125.0
108.0,143.0,125.0
108.0,140.0,124.0
109.0,139.0,123.0
108.0,147.0,123.0
108.0,147.0,118.0
107.0,146.0,115.0
108.0,149.0,116.0
108.0,157.0,117.0
107.0,167.0,119.0
108.0,161.0,117.0
108.0,160.0,116.0
108.0,161.0,117.0
108.0,158.0,118.0
108.0,157.0,115.0
108.0,157.0,114.0
107.0,152.0,111.0
107.0,151.0,110.0
107.0,161.0,108.0
108.0,168.0,108.0
109.0,166.0,106.0
109.0,169.0,104.0
110.0,163.0,102.0
110.0,163.0,100.0
109.0,172.0,98.0
107.0,140.0,124.0
107.0,139.0,125.0
107.0,139.0,125.0
108.0,138.0,126.0
108.0,140.0,124.0
109.0,138.0,124.0
109.0,130.0,122.0
108.0,142.0,122.0
108.0,145.0,123.0
108.0,141.0,123.0
109.0,140.0,122.0
108.0,147.0,123.0
108.0,142.0,122.0
107.0,140.0,120.0
108.0,143.0,121.0
108.0,152.0,121.0
107.0,167.0,119.0
108.0,160.0,118.0
108.0,158.0,118.0
108.0,160.0,118.0
108.0,159.0,117.0
108.0,157.0,115.0
108.0,157.0,114.0
107.0,152.0,111.0
107.0,149.0,111.0
107.0,159.0,109.0
108.0,166.0,109.0
109.0,163.0,108.0
109.0,166.0,106.0
110.0,161.0,103.0
110.0,163.0,100.0
109.0,172.0,98.0
109.0,117.0,124.0
108.0,122.0,123.0
109.0,125.0,122.0
109.0,127.0,122.0
110.0,125.0,120.0
109.0,131.0,121.0
109.0,130.0,122.0
107.0,140.0,120.0
109.0,148.0,122.0
111.0,150.0,129.0
109.0,143.0,123.0
109.0,143.0,123.0
109.0,139.0,121.0
107.0,148.0,122.0
106.0,158.0,123.0
108.0,158.0,124.0
108.0,158.0,121.0
107.0,153.0,115.0
107.0,157.0,120.0
108.0,156.0,119.0
110.0,149.0,111.0
108.0,157.0,115.0
109.0,154.0,111.0
108.0,152.0,114.0
109.0,141.0,112.0
108.0,147.0,111.0
108.0,148.0,105.0
108.0,154.0,104.0
108.0,162.0,107.0
109.0,166.0,106.0
108.0,162.0,101.0
109.0,172.0,98.0
109.0,118.0,123.0
108.0,122.0,123.0
109.0,125.0,122.0
109.0,127.0,122.0
110.0,123.0,122.0
109.0,129.0,123.0
109.0,130.0,122.0
107.0,139.0,121.0
109.0,148.0,122.0
111.0,155.0,125.0
109.0,143.0,123.0
109.0,144.0,122.0
109.0,139.0,121.0
107.0,150.0,121.0
106.0,159.0,122.0
108.0,160.0,123.0
108.0,158.0,121.0
107.0,148.0,119.0
107.0,157.0,120.0
108.0,155.0,120.0
110.0,142.0,117.0
108.0,156.0,116.0
109.0,149.0,115.0
108.0,152.0,114.0
109.0,141.0,112.0
108.0,147.0,111.0
108.0,141.0,110.0
108.0,147.0,109.0
108.0,161.0,108.0
109.0,164.0,107.0
108.0,160.0,102.0
109.0,170.0,99.0
109.0,129.0,123.0
109.0,130.0,122.0
108.0,133.0,123.0
110.0,132.0,124.0
110.0,132.0,124.0
110.0,133.0,123.0
111.0,127.0,122.0
109.0,134.0,118.0
108.0,149.0,120.0
108.0,149.0,123.0
108.0,150.0,122.0
109.0,153.0,123.0
108.0,154.0,121.0
109.0,162.0,126.0
106.0,160.0,121.0
107.0,152.0,119.0
108.0,141.0,116.0
108.0,148.0,121.0
108.0,146.0,119.0
108.0,147.0,118.0
108.0,149.0,116.0
108.0,156.0,119.0
107.0,161.0,117.0
109.0,153.0,115.0
111.0,139.0,112.0
108.0,146.0,112.0
106.0,154.0,111.0
108.0,163.0,114.0
109.0,162.0,112.0
109.0,166.0,109.0
108.0,170.0,105.0
109.0,173.0,99.0
109.0,130.0,122.0
109.0,130.0,122.0
108.0,134.0,122.0
110.0,132.0,124.0
110.0,132.0,124.0
110.0,132.0,124.0
111.0,127.0,122.0
109.0,133.0,119.0
108.0,146.0,122.0
108.0,149.0,123.0
108.0,152.0,121.0
109.0,157.0,120.0
108.0,155.0,120.0
109.0,169.0,121.0
106.0,160.0,121.0
107.0,150.0,121.0
108.0,136.0,120.0
108.0,148.0,121.0
108.0,145.0,120.0
108.0,145.0,120.0
108.0,147.0,118.0
108.0,156.0,119.0
107.0,163.0,116.0
109.0,152.0,116.0
111.0,136.0,114.0
108.0,147.0,111.0
106.0,154.0,111.0
108.0,169.0,110.0
109.0,166.0,109.0
109.0,166.0,109.0
108.0,170.0,105.0
109.0,171.0,100.0
106.0,132.0,124.0
107.0,130.0,122.0
108.0,129.0,117.0
107.0,131.0,121.0
108.0,130.0,124.0
108.0,132.0,124.0
108.0,133.0,123.0
109.0,131.0,119.0
108.0,136.0,120.0
108.0,146.0,122.0
107.0,148.0,119.0
107.0,150.0,117.0
108.0,154.0,121.0
108.0,153.0,120.0
106.0,159.0,120.0
106.0,153.0,118.0
108.0,148.0,121.0
108.0,148.0,121.0
111.0,135.0,115.0
108.0,150.0,121.0
108.0,150.0,122.0
107.0,158.0,123.0
105.0,154.0,116.0
109.0,146.0,115.0
110.0,142.0,113.0
109.0,144.0,110.0
108.0,145.0,111.0
107.0,153.0,110.0
108.0,156.0,111.0
109.0,160.0,107.0
107.0,162.0,104.0
107.0,167.0,101.0
106.0,132.0,124.0
107.0,126.0,125.0
108.0,121.0,124.0
107.0,129.0,123.0
108.0,131.0,123.0
108.0,132.0,124.0
108.0,135.0,121.0
109.0,131.0,119.0
108.0,135.0,121.0
108.0,145.0,123.0
107.0,145.0,121.0
107.0,145.0,121.0
108.0,153.0,122.0
108.0,152.0,121.0
106.0,159.0,120.0
106.0,151.0,120.0
108.0,149.0,120.0
108.0,148.0,121.0
111.0,127.0,122.0
108.0,147.0,123.0
108.0,154.0,119.0
107.0,166.0,117.0
105.0,155.0,115.0
109.0,146.0,115.0
110.0,143.0,112.0
109.0,142.0,111.0
108.0,146.0,110.0
107.0,153.0,110.0
108.0,158.0,110.0
109.0,160.0,107.0
107.0,162.0,104.0
107.0,165.0,102.0
109.0,122.0,127.0
109.0,124.0,127.0
107.0,121.0,122.0
107.0,122.0,121.0
108.0,126.0,121.0
109.0,130.0,122.0
109.0,133.0,119.0
109.0,138.0,122.0
108.0,146.0,124.0
109.0,147.0,128.0
108.0,148.0,126.0
108.0,150.0,122.0
108.0,152.0,121.0
108.0,154.0,124.0
109.0,151.0,120.0
106.0,158.0,123.0
106.0,159.0,122.0
108.0,153.0,123.0
107.0,155.0,128.0
109.0,151.0,125.0
109.0,145.0,118.0
109.0,146.0,115.0
107.0,149.0,116.0
110.0,144.0,115.0
112.0,134.0,112.0
110.0,134.0,110.0
109.0,140.0,113.0
109.0,149.0,113.0
109.0,159.0,111.0
109.0,162.0,112.0
109.0,160.0,107.0
109.0,169.0,104.0
109.0,123.0,126.0
